Target Contract,Source Contract,# Covered Function,Covered Historical Tx (%)
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,6,0.07807807807807808
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,5,0.8868868868868869
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,8,0.8908908908908909
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,4,0.07407407407407407
BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,PudgyPenguins_0xBd3531dA5CF5857e7CfAA92426877b022e612cf8,3,0.07507507507507508
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,Azuki_0xED5AF388653567Af2F388E6224dC7C4b3241C544,3,0.16716716716716717
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,BoredApeYachtClub_0xBC4CA0EdA7647A8aB7C2061c2E118A18a936f13D,4,0.16716716716716717
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,CoolCats_0x1A92f7381B9F03921564a437210bB9396471050C,3,0.16716716716716717
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,CoolmansUniverse_0xa5C0Bd78D1667c13BFB403E2a3336871396713c5,5,0.16716716716716717
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,IO_0x716F29B8972D551294d9E02B3eb0fC1107FbF4aA,3,0.16716716716716717
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,mfers_0x79FCDEF22feeD20eDDacbB2587640e45491b757f,5,0.17017017017017017
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,Miladys_0x5Af0D9827E0c53E4799BB226655A1de152A425a5,5,0.16716716716716717
Doodles_0x8a90CAb2b38dba80c64b7734e58Ee1dB38B8992e,MutantApeYachtClub_0x60E4d786628Fea6478F785A6d7e704777c86a7c6,3,0.16716716716716717
